Sensor,el75,std,moda,media,mediana,iqr,cv,V40,V60,Vmax,V100,V120,difBA,difBC,difBD,difBE,slopeAB,slopeBC,slopeAD,slopeDE,slopeEC,slopeBE,slopeDB,asimetria,Met,IsoB,Prop,Hidro,Etan,CO,Air,class,target
S5-TGS2611-e00,0.012701499305537309,0.005320896840357722,0.015116043841297666,0.007673739453411762,0.007914059551921121,0.009978215638990165,69.33903441290333,0.010554373870410971,0.013348447899288685,0.015152441016724583,0.010178358521643338,0.005614222395009305,0.004598067146313611,0.009538218621715278,0.001803993117435898,0.0049740824950812446,0.00012474408969922983,-0.00022109917991922293,0.00013970370144388567,-7.925223444113367e-05,-0.00022820680633170166,-0.0002149560283094747,0.00010699840554186822,-0.12624365677269525,57.419728788003916,2.2292859967224534e+17,0.0,114.40541626429153,0.0,0.0,0.0,0,0
S6-TGS2610-c00,0.17543126111929003,0.08413343280513308,0.22653054372280224,0.08799391681523572,0.05216584416859599,0.16668065275584074,95.61278307657489,0.09989089561209608,0.19762069940223148,0.22666524365262208,0.10673784819436516,0.02702198023288821,0.126774348040526,0.19964326341973387,0.029044544250390603,0.11992739545825692,0.0035342723178289934,-0.0045239805896155425,0.00488649018950677,-0.002272071280196658,-0.003985793398073848,-0.0049700536866248216,0.0018301540170378447,0.4458873162264993,127.72425749851803,112.92897041405637,112.92897041405637,259.26251382984486,513.4617390530508,0.0,2.2779299364431783e+194,0,0
S7-TGS2620,0.09829329058515843,0.04563954481619672,0.12416247536438019,0.052749845562327376,0.04250822895352785,0.09182341474399972,86.52071741569485,0.0645149219161465,0.10472638500887232,0.12521851211922974,0.07261104858708523,0.024385462265944735,0.060703590203083246,0.100833049853285,0.020492127110357417,0.052607463532144516,0.001589515323463819,-0.0024116969589400863,0.0020105731546362915,-0.0008028834105446775,-0.0024112793160570244,-0.0024120799418681574,0.0011265600390520847,0.2594712193981051,400.35504341030077,16.43906627048339,0.0,8.694935763420665,15.98116869852642,40.549429829589656,0.0,0,0
S8-TGS2600,0.07335755949866013,0.03480572743653983,0.08987414051245501,0.04054050960370555,0.03555848292267072,0.06752561780007463,85.8541931928711,0.03027915462733688,0.06866498398882592,0.09680452411238205,0.07545630317150764,0.031096092056088764,0.06652536948504517,0.06570843205629329,0.028139540123556128,0.021348220940874407,0.0014899298876829823,-0.0018587958148880705,0.001919291468074452,0.00016978297956704304,-0.002218010555770944,-0.0013907635792100596,0.0011415634938562321,0.22790985020919335,6.209752568599476e-07,0.005210972886196876,0.0,0.009115488893994396,0.0050540029268160225,0.004232153848302322,0.0,0,0
S9-TGS2611-c00,0.017875180121899814,0.00842765638517726,0.021585903323758093,0.009928733998067462,0.009015279366376638,0.016197699215630745,84.8814802251488,0.007041715458264708,0.016682921505960402,0.02330694156046642,0.018550803566784735,0.008323815462021322,0.016265226102201713,0.014983126098445099,0.006624020054506019,0.004756137993681686,0.00036136916467899825,-0.00042821166328794227,0.0004820603023847847,4.6697051520608326e-05,-0.0005113494052381706,-0.00031728739117289445,0.00026485486023614623,0.16989035244157047,84.95058956450714,1.0000000005431073,0.0,234.40040579641203,408.1610433531137,0.0,0.0,0,0
S10-TGS2600,0.10340647005801959,0.04705614291892907,0.12655888700284035,0.05840157151134433,0.052833289549978624,0.09200975227568259,80.57341900429607,0.055682274703365287,0.10167208003213624,0.13229319341955637,0.09844928265698005,0.04085112111600808,0.07661091871619108,0.09144207230354828,0.03062111338742013,0.03384391076257631,0.0017933267489745103,-0.0024528452871123464,0.0022994902664385474,-8.056993437890458e-05,-0.0028799080770485984,-0.001958559650612055,0.0013477602723336326,0.16891190733263173,8.131055237466624e-07,0.005639552285092477,0.0,0.009756703109761776,0.005453897777614237,0.004711346931793912,0.0,0,0
S11-TGS2620,0.10310496730305824,0.04653743724540519,0.1270174932565259,0.056929007910165946,0.04986906264105312,0.09321561536010467,81.74643991485208,0.06849649309738393,0.10773275057539788,0.1286883658816752,0.08251223047308265,0.030991125968798716,0.06019187278429128,0.09769723991287649,0.02095561530627732,0.046176135408592556,0.0015370754030717896,-0.002392194904820678,0.0019618128739006977,-0.0006305130025578809,-0.0025760552252141965,-0.0022157454610649014,0.0010937168740228248,0.176563733073549,404.03490496564086,16.555257697430903,0.0,8.75846542412111,16.07646333157052,40.830960366928274,0.0,0,0
S12-TGS2611-c00,0.021062642955067157,0.009514614416028163,0.02608642831136665,0.011718353674973309,0.010190237550517678,0.018852351806450923,81.19412231385681,0.013975244800130238,0.021901508340805065,0.026527092960751508,0.016997393745859846,0.006558869392106703,0.01255184816062127,0.019968223568644805,0.004625584619946443,0.009529699214891663,0.0003168858409649399,-0.0004943853322269077,0.00039631317703374137,-0.00012260286487363048,-0.0005219262176876571,-0.00046737122191719773,0.00023587886894168504,0.1800054917910431,87.44707751810932,1.000000000546288,0.0,242.61913266771856,421.9228942049225,0.0,0.0,0,0
S13-TGS2611-e00,0.006915950237586593,0.003128046538959991,0.008429263615305271,0.003758411778963516,0.003320513234220779,0.006417998353964699,83.22788249196671,0.0050846518367562155,0.007310014869310044,0.008490407607188444,0.005114419610510623,0.0015922230367310108,0.0034057557704322283,0.006898184570457433,0.0011803927378783996,0.0033759879966778206,8.934301601343725e-05,-0.00016471309862601323,0.00011126815162769143,-5.488988146998553e-05,-0.0001761098286889806,-0.00015429561227960791,6.514308707938186e-05,0.16617790634777102,51.41753511649176,2391183665924129.0,0.0,99.59810352814074,0.0,0.0,0.0,0,0
S14-TGS2610-c00,0.11020515735250172,0.05225646897826311,0.13570808952087177,0.053935732243065845,0.028977515011531285,0.1046747163072197,96.88654775792234,0.03763272643288473,0.1145615075770946,0.1389605725772517,0.08946582068772624,0.016952773164115476,0.10132784614436696,0.12200779941313622,0.024399065000157094,0.04949475188952546,0.0024481238498276626,-0.003160005164805393,0.0038464390572104934,-0.000627392172234209,-0.003625652376180538,-0.002659578285304968,0.0011406762505917294,0.4629459690151549,117.85977362546176,105.03532021411846,105.03532021411846,238.70563223151777,473.57087981212135,0.0,8.0188417693632235e+183,0,0
